event,ADM_CD,SIDO,SIGUNGU,EMD,positive,mean_prob,p90_prob,unit_area_m2,pixel_count
yecheon_2023,33020430,충청북도,충청북도 충주시,대소원면,0,0.6105383109532743,1.0,62155891.26420419,69012
yecheon_2023,33020440,충청북도,충청북도 충주시,중앙탑면,0,0.19543979570098194,0.9599999785423279,47642162.69306593,17258
yecheon_2023,33020620,충청북도,충청북도 충주시,칠금·금릉동,0,0.7368340065785594,1.0,5790146.926810666,6434
yecheon_2023,33041310,충청북도,충청북도 청주시,낭성면,0,0.8722594330352064,1.0,59354245.91547736,53925
yecheon_2023,33530380,충청북도,충청북도 옥천군,군북면,0,0.8258028275945177,1.0,67260795.65485482,21991
yecheon_2023,33540310,충청북도,충청북도 영동군,용산면,0,0.5091133583299103,1.0,67620382.5801553,25512
yecheon_2023,33560370,충청북도,충청북도 괴산군,청안면,0,0.6303639447064989,1.0,70834656.09150997,78693
yecheon_2023,33560380,충청북도,충청북도 괴산군,사리면,0,0.46661526087892685,1.0,50511454.695004545,56090
yecheon_2023,33560390,충청북도,충청북도 괴산군,소수면,0,0.40998120898251084,1.0,46490435.9043238,51621
yecheon_2023,33560400,충청북도,충청북도 괴산군,불정면,0,0.6006630926627987,1.0,60501748.9395626,67170
yecheon_2023,33570110,충청북도,충청북도 음성군,음성읍,0,0.386036581967502,1.0,86161719.21479572,95675
yecheon_2023,33570120,충청북도,충청북도 음성군,금왕읍,0,0.3637677181539853,1.0,71200430.4407249,41906
yecheon_2023,37090110,경상북도,경상북도 문경시,문경읍,0,0.4343521739039771,1.0,155663182.01480097,172801
yecheon_2023,37090120,경상북도,경상북도 문경시,가은읍,0,0.5234229593649341,1.0,153495057.90041846,170411
yecheon_2023,37090590,경상북도,경상북도 문경시,점촌3동,0,0.8341209879993371,1.0,9035158.651704269,10034
yecheon_2023,37090600,경상북도,경상북도 문경시,점촌4동,0,0.8079973966374594,1.0,29768038.862705648,33042
yecheon_2023,33520340,충청북도,충청북도 보은군,탄부면,0,0.6132698446052509,1.0,31580075.239598818,35072
yecheon_2023,37080440,경상북도,경상북도 상주시,은척면,0,0.43382393099668837,1.0,54083867.994160704,60056
yecheon_2023,37080450,경상북도,경상북도 상주시,공검면,0,0.6510586936134861,1.0,39438231.923724726,43752
yecheon_2023,37080460,경상북도,경상북도 상주시,이안면,0,0.4718982414260908,1.0,52562049.81073087,58354
yecheon_2023,37080470,경상북도,경상북도 상주시,화남면,0,0.3758393521854206,1.0,54623267.69723947,60642
yecheon_2023,33580110,충청북도,충청북도 단양군,단양읍,0,0.6830877293726719,1.0,75796366.18383299,84133
yecheon_2023,33580320,충청북도,충청북도 단양군,대강면,0,0.3777215730913323,1.0,134124397.61016749,148822
yecheon_2023,33580330,충청북도,충청북도 단양군,가곡면,0,0.2165218080146153,0.9700000286102295,104564274.22588085,75568
yecheon_2023,33580340,충청북도,충청북도 단양군,영춘면,0,0.11249502011272168,0.5699999928474426,180628411.73697597,29118
yecheon_2023,37040110,경상북도,경상북도 안동시,풍산읍,0,0.4194321616926628,1.0,96521338.36376491,107108
yecheon_2023,37040310,경상북도,경상북도 안동시,와룡면,0,0.30188053967287276,1.0,114918111.5104362,127490
yecheon_2023,37040320,경상북도,경상북도 안동시,북후면,0,0.30792318432068494,1.0,77317092.62900402,85790
yecheon_2023,37040330,경상북도,경상북도 안동시,서후면,0,0.34617804417148756,1.0,65013013.40193039,72128
yecheon_2023,37040340,경상북도,경상북도 안동시,풍천면,0,0.8023474114457284,1.0,95005203.56471108,105431
yecheon_2023,37040350,경상북도,경상북도 안동시,일직면,0,0.8565954440745067,1.0,85701627.20336206,95102
yecheon_2023,37520110,경상북도,경상북도 의성군,의성읍,0,0.8455832440888819,1.0,68271906.87236421,75766
yecheon_2023,37520340,경상북도,경상북도 의성군,사곡면,0,0.7625992141272218,1.0,72711019.3650415,66270
yecheon_2023,37520420,경상북도,경상북도 의성군,단북면,0,0.9610480357361448,1.0,23933082.239457406,26564
yecheon_2023,37520430,경상북도,경상북도 의성군,안계면,0,0.8750938918831087,1.0,43724005.67619878,48513
yecheon_2023,37610350,경상북도,경상북도 봉화군,소천면,0,0.0,0.0,262976913.35948285,6024
yecheon_2023,37040620,경상북도,경상북도 안동시,서구동,0,0.7530011649597392,1.0,1537984.281590131,1716
yecheon_2023,33020560,충청북도,충청북도 충주시,지현동,0,0.5519344266290304,1.0,553582.7818421135,610
yecheon_2023,37040410,경상북도,경상북도 안동시,예안면,0,0.3783886524345497,1.0,164255841.00447908,97465
