event,ADM_CD,SIDO,SIGUNGU,EMD,label_source,positive,mean_prob,pixel_count
yecheon_2023,33570120,충청북도,충청북도 음성군,금왕읍,Sentinel scar label,1,0.3637677181539853,41906
yecheon_2023,37090110,경상북도,경상북도 문경시,문경읍,Sentinel scar label,1,0.4343521739039771,172801
yecheon_2023,37090120,경상북도,경상북도 문경시,가은읍,Sentinel scar label,1,0.5234229593649341,170411
yecheon_2023,37090590,경상북도,경상북도 문경시,점촌3동,Sentinel scar label,1,0.8341209879993371,10034
yecheon_2023,37090600,경상북도,경상북도 문경시,점촌4동,Sentinel scar label,1,0.8079973966374594,33042
yecheon_2023,33520340,충청북도,충청북도 보은군,탄부면,Sentinel scar label,1,0.6132698446052509,35072
yecheon_2023,37080440,경상북도,경상북도 상주시,은척면,Sentinel scar label,1,0.43382393099668837,60056
yecheon_2023,37080450,경상북도,경상북도 상주시,공검면,Sentinel scar label,1,0.6510586936134861,43752
yecheon_2023,37080460,경상북도,경상북도 상주시,이안면,Sentinel scar label,1,0.4718982414260908,58354
yecheon_2023,37080470,경상북도,경상북도 상주시,화남면,Sentinel scar label,1,0.3758393521854206,60642
yecheon_2023,33580110,충청북도,충청북도 단양군,단양읍,Sentinel scar label,1,0.6830877293726719,84133
yecheon_2023,33580320,충청북도,충청북도 단양군,대강면,Sentinel scar label,1,0.3777215730913323,148822
yecheon_2023,33580330,충청북도,충청북도 단양군,가곡면,Sentinel scar label,1,0.2165218080146153,75568
yecheon_2023,33580340,충청북도,충청북도 단양군,영춘면,Sentinel scar label,1,0.11249502011272168,29118
yecheon_2023,37040110,경상북도,경상북도 안동시,풍산읍,Sentinel scar label,1,0.4194321616926628,107108
yecheon_2023,37040310,경상북도,경상북도 안동시,와룡면,Sentinel scar label,1,0.30188053967287276,127490
yecheon_2023,37040320,경상북도,경상북도 안동시,북후면,Sentinel scar label,1,0.30792318432068494,85790
yecheon_2023,37040330,경상북도,경상북도 안동시,서후면,Sentinel scar label,1,0.34617804417148756,72128
yecheon_2023,37040340,경상북도,경상북도 안동시,풍천면,Sentinel scar label,1,0.8023474114457284,105431
yecheon_2023,37040350,경상북도,경상북도 안동시,일직면,Sentinel scar label,1,0.8565954440745067,95102
yecheon_2023,37520110,경상북도,경상북도 의성군,의성읍,Sentinel scar label,1,0.8455832440888819,75766
yecheon_2023,37520340,경상북도,경상북도 의성군,사곡면,Sentinel scar label,1,0.7625992141272218,66270
yecheon_2023,37520420,경상북도,경상북도 의성군,단북면,Sentinel scar label,0,0.9610480357361448,26564
yecheon_2023,37520430,경상북도,경상북도 의성군,안계면,Sentinel scar label,1,0.8750938918831087,48513
yecheon_2023,37610350,경상북도,경상북도 봉화군,소천면,Sentinel scar label,0,0.0,6024
yecheon_2023,37040620,경상북도,경상북도 안동시,서구동,Sentinel scar label,1,0.7530011649597392,1716
yecheon_2023,33020560,충청북도,충청북도 충주시,지현동,Sentinel scar label,1,0.5519344266290304,610
yecheon_2023,37040410,경상북도,경상북도 안동시,예안면,Sentinel scar label,1,0.3783886524345497,97465
yecheon_2023,37040420,경상북도,경상북도 안동시,도산면,Sentinel scar label,1,0.2852743348140168,114568
yecheon_2023,37040430,경상북도,경상북도 안동시,녹전면,Sentinel scar label,1,0.31961495819525265,79420
yecheon_2023,37040510,경상북도,경상북도 안동시,중구동,Sentinel scar label,1,0.584647760358636,4443
yecheon_2023,37040520,경상북도,경상북도 안동시,명륜동,Sentinel scar label,1,0.27770352242386315,8574
yecheon_2023,37040540,경상북도,경상북도 안동시,용상동,Sentinel scar label,1,0.42021051205937987,29642
yecheon_2023,37040560,경상북도,경상북도 안동시,태화동,Sentinel scar label,1,0.7480874524724461,2630
yecheon_2023,37040580,경상북도,경상북도 안동시,평화동,Sentinel scar label,1,0.47625269935331577,926
yecheon_2023,37060340,경상북도,경상북도 영주시,장수면,Sentinel scar label,1,0.3461351628817568,46566
yecheon_2023,37060350,경상북도,경상북도 영주시,안정면,Sentinel scar label,1,0.4089081578819094,48725
yecheon_2023,37060360,경상북도,경상북도 영주시,봉현면,Sentinel scar label,1,0.42294130870949853,57692
yecheon_2023,37060370,경상북도,경상북도 영주시,순흥면,Sentinel scar label,1,0.5336114558640729,60261
yecheon_2023,37060380,경상북도,경상북도 영주시,단산면,Sentinel scar label,1,0.409923515028492,90607
yecheon_2023,37060390,경상북도,경상북도 영주시,부석면,Sentinel scar label,1,0.2346909737790739,81320
yecheon_2023,37060510,경상북도,경상북도 영주시,상망동,Sentinel scar label,1,0.3017969821640978,18954
yecheon_2023,37060530,경상북도,경상북도 영주시,하망동,Sentinel scar label,0,0.48504092764632845,1466
yecheon_2023,33580120,충청북도,충청북도 단양군,매포읍,Sentinel scar label,1,0.2729826519223904,21444
yecheon_2023,37520310,경상북도,경상북도 의성군,단촌면,Sentinel scar label,1,0.8004498125522431,81523
yecheon_2023,37520320,경상북도,경상북도 의성군,점곡면,Sentinel scar label,1,0.3898056328931177,72543
yecheon_2023,37520330,경상북도,경상북도 의성군,옥산면,Sentinel scar label,1,0.5562150045537823,114909
yecheon_2023,22520111,대구광역시,대구광역시 군위군,군위읍,Sentinel scar label,0,0.8316897807135111,3533
yecheon_2023,22520311,대구광역시,대구광역시 군위군,소보면,Sentinel scar label,1,0.8666904987840555,37906
yecheon_2023,37060550,경상북도,경상북도 영주시,영주1동,Sentinel scar label,0,0.6358362670518903,1136
yecheon_2023,37060580,경상북도,경상북도 영주시,영주2동,Sentinel scar label,0,0.8559273798987489,1019
yecheon_2023,37060590,경상북도,경상북도 영주시,휴천1동,Sentinel scar label,1,0.31692017819387847,5838
yecheon_2023,37060600,경상북도,경상북도 영주시,휴천2동,Sentinel scar label,1,0.7255115658301674,2248
yecheon_2023,37060610,경상북도,경상북도 영주시,휴천3동,Sentinel scar label,1,0.3860340608915859,10628
yecheon_2023,37060620,경상북도,경상북도 영주시,가흥1동,Sentinel scar label,1,0.3901208498780264,7199
yecheon_2023,37060630,경상북도,경상북도 영주시,가흥2동,Sentinel scar label,1,0.5491746932826378,18999
chuncheon_2020,32010520,강원도,강원도 춘천시,교동,Sentinel scar label,1,0.6728547577884589,599
chuncheon_2020,32010530,강원도,강원도 춘천시,조운동,Sentinel scar label,0,0.8665633802682581,355
chuncheon_2020,32010540,강원도,강원도 춘천시,약사명동,Sentinel scar label,1,0.8929251692428881,588
chuncheon_2020,32010570,강원도,강원도 춘천시,근화동,Sentinel scar label,1,0.9606943536294269,10715
chuncheon_2020,32010580,강원도,강원도 춘천시,소양동,Sentinel scar label,1,0.7832586694134647,1384
chuncheon_2020,32010610,강원도,강원도 춘천시,후평2동,Sentinel scar label,0,0.6920750011038035,800
chuncheon_2020,32010620,강원도,강원도 춘천시,후평3동,Sentinel scar label,1,0.6216779659186505,1180
chuncheon_2020,32010630,강원도,강원도 춘천시,효자1동,Sentinel scar label,0,0.8830058928322932,509
chuncheon_2020,32010650,강원도,강원도 춘천시,효자3동,Sentinel scar label,1,0.7229192545271129,483
chuncheon_2020,32010710,강원도,강원도 춘천시,신사우동,Sentinel scar label,1,0.935620166898146,12932
chuncheon_2020,32510380,강원도,강원도 홍천군,북방면,Sentinel scar label,1,0.7175657933088089,70105
chuncheon_2020,32010320,강원도,강원도 춘천시,동산면,Sentinel scar label,1,0.7349615926218708,89568
chuncheon_2020,32010330,강원도,강원도 춘천시,신동면,Sentinel scar label,1,0.7020826138336689,53404
chuncheon_2020,32010340,강원도,강원도 춘천시,동내면,Sentinel scar label,1,0.6692455512787957,40639
chuncheon_2020,32010350,강원도,강원도 춘천시,남면,Sentinel scar label,1,0.758225625905149,38825
chuncheon_2020,32010360,강원도,강원도 춘천시,남산면,Sentinel scar label,1,0.7652569200839348,81114
chuncheon_2020,32010370,강원도,강원도 춘천시,서면,Sentinel scar label,1,0.6272301069661654,151811
chuncheon_2020,32010380,강원도,강원도 춘천시,사북면,Sentinel scar label,1,0.2985233314006917,96799
chuncheon_2020,32010390,강원도,강원도 춘천시,북산면,Sentinel scar label,1,0.748533641336027,192695
