event,ADM_CD,SIDO,SIGUNGU,EMD,positive,mean_prob,p90_prob,unit_area_m2,pixel_count,mean_elevation_m,relief_m,log_unit_area_m2
yecheon_2023,33520330,충청북도,충청북도 보은군,마로면,0,0.532712134929165,1.0,68206603.27328905,75730,263.5561218261719,738.6175537109375,18.038051940315714
yecheon_2023,37060110,경상북도,경상북도 영주시,풍기읍,0,0.5175403077728234,1.0,76780591.06307657,85218,585.5888671875,1251.751220703125,18.15646244564583
yecheon_2023,37060310,경상북도,경상북도 영주시,이산면,0,0.3181541631648819,1.0,54200253.30937854,60157,212.53173828125,243.7100830078125,17.808196140003723
yecheon_2023,37060320,경상북도,경상북도 영주시,평은면,0,0.2877478119436215,1.0,63123499.27191676,70043,257.6283874511719,466.45703125,17.960603671366965
yecheon_2023,37060330,경상북도,경상북도 영주시,문수면,0,0.2736823274523037,1.0,42065834.749632224,46677,180.38734436035156,218.93055725097656,17.554746443050014
yecheon_2023,33030320,충청북도,충청북도 제천시,청풍면,0,0.3554764930303279,1.0,92251435.7296291,79445,218.56922912597656,894.4328002929688,18.340028404228615
yecheon_2023,37080520,경상북도,경상북도 상주시,남원동,0,0.4094181817001965,1.0,27741241.761356123,30800,175.87025451660156,662.535400390625,17.13843073613732
yecheon_2023,37080530,경상북도,경상북도 상주시,북문동,0,0.6247358548703856,1.0,14414448.16148896,15995,112.7499008178711,378.6626281738281,16.48374160608037
yecheon_2023,37080540,경상북도,경상북도 상주시,계림동,0,0.8052876138656718,1.0,11651307.693898832,12934,57.70933532714844,128.67083740234375,16.270928980079937
yecheon_2023,37080560,경상북도,경상북도 상주시,동성동,0,0.5641621827477908,1.0,11722807.182170374,13010,169.97409057617188,507.10955810546875,16.277046834095646
yecheon_2023,37080570,경상북도,경상북도 상주시,신흥동,0,0.6116757380051117,1.0,25478236.542762067,28292,197.0829315185547,733.7888793945312,17.053335176805415
yecheon_2023,33020430,충청북도,충청북도 충주시,대소원면,0,0.6105383109532743,1.0,62155891.26420419,69012,180.51348876953125,460.54754638671875,17.945156162485794
yecheon_2023,33020440,충청북도,충청북도 충주시,중앙탑면,0,0.1954397957009819,0.959999978542328,47642162.69306593,17258,121.1318359375,295.3997497558594,17.67922869800087
yecheon_2023,33020620,충청북도,충청북도 충주시,칠금·금릉동,0,0.7368340065785594,1.0,5790146.926810666,6434,82.9388198852539,175.1410675048828,15.571668225187604
yecheon_2023,33041310,충청북도,충청북도 청주시,낭성면,0,0.8722594330352064,1.0,59354245.91547736,53925,297.70281982421875,591.3609619140625,17.8990342167387
yecheon_2023,33530380,충청북도,충청북도 옥천군,군북면,0,0.8258028275945177,1.0,67260795.65485482,21991,152.38809204101562,507.5711364746094,18.024088093746347
yecheon_2023,33540310,충청북도,충청북도 영동군,용산면,0,0.5091133583299103,1.0,67620382.5801553,25512,192.4920654296875,460.90985107421875,18.02942001302386
yecheon_2023,33560370,충청북도,충청북도 괴산군,청안면,0,0.6303639447064989,1.0,70834656.09150997,78693,268.545654296875,545.5098876953125,18.075858931719356
